uf,municipio,mes,ano,mes_ano,ocor_atend,flagrantes,paai,tco_pmdf,tco_outros,mai_detidos,mai_presos_flag,men_apre,med_pol,visit_provid,hom_tent,hom,fem,fem_tent,hom_culp,infant,mar_penha,vias_fato,pert_sosseg,acid_tran_cvit,acid_tran_vit_fat,acid_tran_svit,furt_trans,furt_cel,furt_veic,furt_com,furt_res,roub_trans,roub_veic,roub_col,roub_res,arm_fogo_apre,arm_branc_apr,drog_kg_apr,drog_un_apr
DF,BRASÍLIA,JANEIRO,2022,JAN_2022,15523,774,123,1325,256,1993,857,130,1669,1639,,,,,,,1809,918,227,124,5,139,,41,41,142,94,185,47,11,32,125,266,135,8102
DF,BRASÍLIA,JANEIRO,2023,JAN_2023,14866,792,108,800,205,1914,871,120,1580,1509,56,12,5,2,0,0,1846,849,184,155,4,109,23,47,57,162,117,175,57,5,18,164,256,525,71
DF,BRASÍLIA,JANEIRO,2024,JAN_2024,13207,778,78,758,203,1784,865,80,993,1862,43,4,5,3,0,0,1380,696,188,125,6,93,8,23,25,150,49,109,27,1,9,130,217,113,177
DF,BRASÍLIA,FEVEREIRO,2022,FEV_2022,16317,737,108,1188,246,2045,826,115,1759,1680,,,,,,,1790,995,241,144,8,154,,46,41,108,77,205,59,6,24,150,300,122,912
DF,BRASÍLIA,FEVEREIRO,2023,FEV_2023,13151,735,89,975,204,1729,798,111,1316,1505,100,23,7,7,0,0,1443,715,166,134,8,111,45,44,37,148,77,166,38,5,20,208,300,49,625
DF,BRASÍLIA,FEVEREIRO,2024,FEV_2024,25459,1551,176,1497,372,3494,1733,194,1793,3610,68,12,7,9,1,0,2609,1235,330,278,10,199,14,60,58,275,96,218,53,2,29,288,445,238,3972
DF,BRASÍLIA,MARÇO,2022,MAR_2022,17875,763,149,1317,271,2165,839,156,2022,1893,,,,,,,2044,1070,265,168,3,148,,68,27,177,110,246,75,12,25,142,387,189,747
DF,BRASÍLIA,MARÇO,2023,MAR_2023,16484,964,112,1052,230,2144,1059,197,1693,1655,37,23,7,3,1,1,1806,848,158,166,3,161,28,61,36,171,81,195,65,7,20,181,471,214,272
DF,BRASÍLIA,MARÇO,2024,MAR_2024,13986,864,109,777,219,1869,937,134,988,1804,35,11,6,0,0,0,1510,657,179,159,7,123,22,29,23,108,41,119,31,4,5,153,307,122,293
DF,BRASÍLIA,ABRIL,2022,ABR_2022,17677,772,123,1084,203,2029,858,136,2188,1734,,,,,,,2279,1143,229,172,9,147,,62,32,166,125,263,55,11,36,119,324,52,1530
DF,BRASÍLIA,ABRIL,2023,ABR_2023,15078,833,128,970,208,1942,902,216,1623,1548,44,19,1,1,0,0,1622,751,143,161,4,147,16,41,44,124,56,162,42,4,13,170,304,136,258
DF,BRASÍLIA,ABRIL,2024,ABR_2024,12555,768,103,660,195,1744,852,140,840,1815,35,8,0,0,2,0,1239,568,152,161,3,135,9,33,27,112,33,142,43,0,10,135,281,80,283
DF,BRASÍLIA,MAIO,2022,MAI_2022,16647,728,101,1033,156,1909,795,132,1861,1859,,,,,,,1907,911,186,199,5,143,,62,26,163,121,254,64,15,35,117,237,127,449
DF,BRASÍLIA,MAIO,2023,MAI_2023,15103,726,87,910,178,1810,783,158,1664,1726,49,11,5,1,0,0,1511,793,143,188,7,132,22,53,37,143,69,163,50,4,23,141,282,148,72
DF,BRASÍLIA,MAIO,2024,MAI_2024,13008,815,114,669,168,1828,906,165,753,1775,38,9,4,2,1,0,1354,558,133,225,9,112,11,25,32,120,54,111,32,4,11,121,258,175,65
DF,BRASÍLIA,JUNHO,2022,JUN_2022,15672,770,97,890,188,1873,854,114,1763,1623,,,,,,,1812,883,202,183,5,129,,47,41,177,108,244,56,8,21,111,259,2549,290
DF,BRASÍLIA,JUNHO,2023,JUN_2023,14615,613,78,828,139,1308,673,117,1601,1769,47,11,4,3,1,0,1396,745,195,138,3,137,21,37,30,124,60,142,35,3,16,109,247,65,2877
DF,BRASÍLIA,JUNHO,2024,JUN_2024,12867,823,110,616,193,1878,915,155,745,1835,26,12,3,0,0,1,1356,557,134,191,7,143,12,32,21,120,42,98,30,1,11,127,251,439,6196
DF,BRASÍLIA,JULHO,2022,JUL_2022,15913,794,94,862,182,1923,873,112,1857,1270,,,,,,,1870,981,206,183,5,180,,74,47,166,95,214,46,10,25,183,519,157,2105
DF,BRASÍLIA,JULHO,2023,JUL_2023,14460,751,89,877,168,1665,823,133,1522,1704,45,11,3,2,0,0,1521,690,115,131,3,105,17,31,24,126,56,133,35,5,27,136,275,56,107
DF,BRASÍLIA,JULHO,2024,JUL_2024,12995,774,84,398,158,1721,866,128,672,2016,19,17,6,0,0,0,1160,431,125,170,0,123,10,23,18,141,36,69,22,2,8,123,288,369,291
DF,BRASÍLIA,AGOSTO,2022,AGO_2022,17413,831,110,1014,198,2042,932,105,1996,1800,,,,,,,2024,1014,231,198,5,182,,68,36,153,117,264,47,12,33,142,824,158,127
DF,BRASÍLIA,AGOSTO,2023,AGO_2023,15181,821,118,843,218,1827,893,183,1559,1456,34,10,4,2,1,0,1468,781,104,169,4,123,29,44,22,140,68,132,28,2,11,114,297,52,4310
DF,BRASÍLIA,AGOSTO,2024,AGO_2024,13734,788,82,400,142,1699,870,140,801,2014,40,12,3,2,0,0,1331,530,152,186,0,143,10,39,20,122,36,75,24,1,10,114,287,201,114
DF,BRASÍLIA,SETEMBRO,2022,SET_2022,16478,779,119,908,200,2004,840,123,1835,1712,,,,,,,2136,1066,138,200,5,190,,47,32,145,79,235,56,4,19,115,270,48,969
DF,BRASÍLIA,SETEMBRO,2023,SET_2023,13667,767,100,726,184,1704,858,177,1294,1621,40,10,10,1,0,0,1420,717,122,151,2,108,16,43,22,110,59,117,25,3,6,113,269,122,337
DF,BRASÍLIA,SETEMBRO,2024,SET_2024,8014,655,63,249,85,1249,718,108,392,1658,20,5,5,1,0,0,782,344,64,98,2,71,7,15,18,69,18,52,23,0,2,115,188,162,142
DF,BRASÍLIA,OUTUBRO,2022,OUT_2022,16877,836,126,768,228,2140,927,138,1831,1637,,,,,,,2342,1144,204,195,10,174,,43,34,160,87,234,69,1,28,138,295,133,10027
DF,BRASÍLIA,OUTUBRO,2023,OUT_2023,13590,846,84,680,184,1808,919,158,1165,1688,39,17,3,0,0,0,1507,781,16,190,3,137,12,46,25,119,55,122,28,1,13,141,269,116,6416
DF,BRASÍLIA,OUTUBRO,2024,OUT_2024,10734,843,89,283,120,1663,907,146,605,1684,29,14,7,2,0,0,1124,450,78,158,4,92,19,21,13,104,29,66,16,1,3,113,268,235,10
DF,BRASÍLIA,NOVEMBRO,2022,NOV_2022,15207,796,118,785,204,1986,878,122,1676,1575,,,,,,,1935,833,105,181,11,150,,48,34,141,80,206,69,6,25,144,261,187,368
DF,BRASÍLIA,NOVEMBRO,2023,NOV_2023,12976,776,87,603,207,1782,853,169,1158,1465,47,12,4,1,0,0,1423,684,115,192,3,140,16,35,27,88,54,111,37,5,12,115,240,158,390
DF,BRASÍLIA,NOVEMBRO,2024,NOV_2024,10235,767,57,256,101,1461,823,114,496,1694,14,13,2,3,0,0,1178,410,116,134,6,108,9,22,23,94,26,77,30,3,8,97,224,152,1064
DF,BRASÍLIA,DEZEMBRO,2022,DEZ_2022,15578,824,96,885,230,2093,929,96,1592,1663,,,,,,,1808,932,96,177,9,167,,48,33,152,116,176,45,9,25,160,311,1232,149
DF,BRASÍLIA,DEZEMBRO,2023,DEZ_2023,12822,834,87,647,213,1889,907,142,1043,1720,49,19,3,1,0,0,1389,625,103,193,2,128,8,26,24,123,54,85,26,2,11,126,293,89,104
DF,BRASÍLIA,DEZEMBRO,2024,DEZ_2024,11091,813,80,335,129,1673,865,127,548,1698,38,15,10,3,0,0,757,447,148,166,7,134,11,28,32,115,31,48,24,1,10,128,250,257,512
